"","overlap_type","seqnames","peakID","annotation","ENSEMBL","SYMBOL","log2FC_car","padj_car","log2FC_rna","padj_rna","geneChr","Start","End","gene_description"
"1","overlap","chr1","924750-926000","5'UTR","ENSG00000187634","SAMD11",-1.0468889854506,0.00997760962663931,-6.41249211647258,9.07827730181617e-51,1,923923,944575,"sterile alpha motif domain containing 11"
"2","overlap","chr1","998850-1002300","Promoter","ENSG00000188290","HES4",-0.608377745981841,0.0343822734304237,-0.93960529486052,0.000385778678826116,1,998962,1000172,"hes family bHLH transcription factor 4"
"3","overlap","chr1","16621000-16621350","Intron","ENSG00000215908","CROCCP2",-1.06297218364869,0.0337518905017425,-0.398559944792475,0.00011204112449407,1,16618253,16657232,"CROCC pseudogene 2"
"4","overlap","chr1","16647300-16647700","Exon","ENSG00000215908","CROCCP2",-1.22932832638607,0.0031367788456689,-0.398559944792475,0.00011204112449407,1,16618253,16657232,"CROCC pseudogene 2"
"5","overlap","chr1","24108050-24109050","5'UTR","ENSG00000142661","MYOM3",-1.21940863227432,0.00794195538261455,-0.915270923599037,3.27523624064233e-05,1,24056035,24112135,"myomesin 3"
"6","overlap","chr1","25343700-25344000","Intron","ENSG00000183726","TMEM50A",-1.38561892873811,0.0256941823046582,-0.352710413762689,1.58302737928095e-07,1,25338317,25362361,"transmembrane protein 50A"
"7","overlap","chr1","38004300-38005450","Promoter","ENSG00000183386","FHL3",-0.91159164409435,0.00356682870286491,-0.600290471017835,1.33815936607077e-05,1,37996770,38005606,"four and a half LIM domains 3"
"8","overlap","chr1","39639800-39640050","Promoter","ENSG00000163909","HEYL",-1.96799515566019,0.00410404973590183,-1.97296722763645,4.54157338475434e-05,1,39623435,39639643,"hes related family bHLH transcription factor with YRPW motif like"
"9","overlap","chr1","45179650-45180550","Intron","ENSG00000162415","ZSWIM5",-1.46502658997463,0.000122845319024095,-2.97915189319672,2.02840695678918e-12,1,45016399,45306209,"zinc finger SWIM-type containing 5"
"10","overlap","chr1","45205250-45207550","5'UTR","ENSG00000162415","ZSWIM5",-1.85339135328133,1.16620483914815e-12,-2.97915189319672,2.02840695678918e-12,1,45016399,45306209,"zinc finger SWIM-type containing 5"
"11","overlap","chr1","45221650-45222000","Intron","ENSG00000162415","ZSWIM5",-2.37999976976772,0.000618762434002658,-2.97915189319672,2.02840695678918e-12,1,45016399,45306209,"zinc finger SWIM-type containing 5"
"12","overlap","chr1","46489200-46490250","Promoter","ENSG00000197587","DMBX1",-0.959322192282249,0.0205915631072668,-1.31916911429501,0.0171392770155753,1,46489836,46516216,"diencephalon/mesencephalon homeobox 1"
"13","overlap","chr1","59926150-59926950","Promoter","ENSG00000134716","CYP2J2",-1.11913459215481,0.0126416509169587,-1.72406166342541,1.84743005768192e-19,1,59893308,59926773,"cytochrome P450 family 2 subfamily J member 2"
"14","overlap","chr1","68050150-68051750","Promoter","ENSG00000162595","DIRAS3",-2.46326568727309,9.83854295947252e-14,-3.24061185861641,3.30913533074485e-08,1,68045886,68051717,"DIRAS family GTPase 3"
"15","overlap","chr1","84892650-84893850","Promoter","ENSG00000171517","LPAR3",-3.59341556058414,6.57596830689221e-23,-5.70278884063617,9.67120293381714e-27,1,84811602,84893206,"lysophosphatidic acid receptor 3"
"16","overlap","chr1","109257400-109257600","Intron","ENSG00000143126","CELSR2",-1.70132099879082,0.00576411720483558,-0.466127361307303,2.03382653430747e-08,1,109249539,109275751,"cadherin EGF LAG seven-pass G-type receptor 2"
"17","overlap","chr1","110210250-110211550","Promoter","ENSG00000116396","KCNC4",-0.874186145440692,0.00141136898684599,-1.49495891703824,3.08001901250395e-15,1,110210314,110283100,"potassium voltage-gated channel subfamily C member 4"
"18","overlap","chr1","115975700-115977700","Promoter","ENSG00000163393","SLC22A15",-0.748228021496826,0.0275028682394453,-1.14738862872959,7.30515966516075e-11,1,115976513,116070054,"solute carrier family 22 member 15"
"19","overlap","chr1","145706200-145708350","Promoter","ENSG00000174827","PDZK1",-1.02959760871924,0.00411875659771265,-1.22295047252913,4.6537262921047e-31,1,145670852,145708148,"PDZ domain containing 1"
"20","overlap","chr1","149917400-149918250","Promoter","ENSG00000159164","SV2A",-0.948769586815273,0.0284032574814801,-2.85615123176693,3.33667757956161e-80,1,149903318,149917844,"synaptic vesicle glycoprotein 2A"
"21","overlap","chr1","150548300-150552800","Promoter","ENSG00000143382","ADAMTSL4",-0.975114802575521,0.000305283473589162,-3.25125851421124,1.60470981504356e-244,1,150549369,150560937,"ADAMTS like 4"
"22","overlap","chr1","152109350-152111700","Exon","ENSG00000159450","TCHH",-0.739883055687114,0.0430338185114159,-1.0630100655142,4.01486594089216e-12,1,152106317,152115444,"trichohyalin"
"23","overlap","chr1","154324700-154326450","Promoter","ENSG00000143515","ATP8B2",-1.78989809126178,8.43748191716799e-10,-2.39513586210895,2.19781405564003e-35,1,154325525,154351304,"ATPase phospholipid transporting 8B2"
"24","overlap","chr1","159009850-159011250","5'UTR","ENSG00000163565","IFI16",-0.860029180071703,0.00411119598835505,-0.91676970086248,1.34184832796354e-26,1,158999968,159055155,"interferon gamma inducible protein 16"
"25","overlap","chr1","161313850-161315200","Promoter","ENSG00000143252","SDHC",-0.979733560465228,0.00459562700206738,-0.505277622892323,7.74361403802201e-12,1,161314381,161363206,"succinate dehydrogenase complex subunit C"
"26","overlap","chr1","164558350-164560750","5'UTR","ENSG00000185630","PBX1",-0.919513531208783,0.012862186162233,-1.63248218947872,9.99199462016536e-25,1,164555584,164851831,"PBX homeobox 1"
"27","overlap","chr1","182789350-182789900","Promoter","ENSG00000135838","NPL",-1.24508470719485,0.0111855805576595,-0.378659062662788,0.0343949139358309,1,182789293,182830384,"N-acetylneuraminate pyruvate lyase"
"28","overlap","chr1","186828900-186829400","Promoter","ENSG00000116711","PLA2G4A",-2.14661923052841,1.31918346238053e-07,-3.12262006950967,1.87400547837907e-24,1,186828949,186988981,"phospholipase A2 group IVA"
"29","overlap","chr1","192807350-192809650","Promoter","ENSG00000116741","RGS2",-0.806158413134505,0.00513322707157466,-0.987587260045266,4.24169687698511e-09,1,192809039,192812275,"regulator of G protein signaling 2"
"30","overlap","chr1","193103700-193106150","Promoter","ENSG00000023572","GLRX2",-0.638643231888746,0.033024753765225,0.272483185190899,0.00451292298937113,1,193090866,193106114,"glutaredoxin 2"
"31","overlap","chr1","196608050-196608800","5'UTR","ENSG00000162687","KCNT2",-2.7812305321246,3.25208069284339e-10,-6.61743157068259,1.28181033776313e-06,1,196225779,196609225,"potassium sodium-activated channel subfamily T member 2"
"32","overlap","chr1","196786100-196787300","Intron","ENSG00000116785","CFHR3",-1.94515555257803,3.59561370902233e-10,-4.40580413025837,6.77093921109405e-24,1,196774813,196795407,"complement factor H related 3"
"33","overlap","chr1","197901900-197903500","Promoter","ENSG00000203724","C1orf53",-0.890473869686555,0.00125297806786773,-1.6514677876086,1.13868575752159e-12,1,197902630,197907367,"chromosome 1 open reading frame 53"
"34","overlap","chr1","197911800-197912450","Promoter","ENSG00000143355","LHX9",-1.34535093498851,0.00938204142736718,-1.68455992464986,0.0303973440679587,1,197911902,197935478,"LIM homeobox 9"
"35","overlap","chr1","197915650-197918050","5'UTR","ENSG00000143355","LHX9",-0.926667726614772,0.00659802787592871,-1.68455992464986,0.0303973440679587,1,197911902,197935478,"LIM homeobox 9"
"36","overlap","chr1","200028650-200029950","3'UTR","ENSG00000116833","NR5A2",-1.02162911132696,0.0025713924199167,-2.92027890664111,1.51497978488591e-32,1,200027614,200177420,"nuclear receptor subfamily 5 group A member 2"
"37","overlap","chr1","200039100-200040250","Exon","ENSG00000116833","NR5A2",-0.888853625851908,0.0105373033529792,-2.92027890664111,1.51497978488591e-32,1,200027614,200177420,"nuclear receptor subfamily 5 group A member 2"
"38","overlap","chr1","201467000-201469700","Promoter","ENSG00000174307","PHLDA3",-0.718450947557249,0.0156148718449247,-0.360412013867145,0.000167393735681172,1,201464278,201469237,"pleckstrin homology like domain family A member 3"
"39","overlap","chr1","201650000-201650650","Intron","ENSG00000134369","NAV1",-1.10979177744009,0.00341292736733007,-0.693224038384321,1.1988410300158e-10,1,201539127,201826969,"neuron navigator 1"
"40","overlap","chr1","201739250-201740450","5'UTR","ENSG00000134369","NAV1",-1.2227938001357,0.000695078477464283,-0.693224038384321,1.1988410300158e-10,1,201539127,201826969,"neuron navigator 1"
